78160,vulture | egyptian hieroglyph g014
78161,combination of vulture and flagellum | egyptian hieroglyph g015
78162,vulture and cobra each on a basket | egyptian hieroglyph g016
78163,owl | egyptian hieroglyph g017
78164,two owls | egyptian hieroglyph g018
78165,combination of owl and forearm with conical loaf | egyptian hieroglyph g019
78166,combination of owl and forearm | egyptian hieroglyph g020
78167,combination of owl and mouth | egyptian hieroglyph g020a
78168,guinea-fowl | egyptian hieroglyph g021
78169,hoopoe | egyptian hieroglyph g022
78170,lapwing | egyptian hieroglyph g023
78171,lapwing with twisted wings | egyptian hieroglyph g024
78172,northern bald ibis | egyptian hieroglyph g025
78173,sacred ibis on standard | egyptian hieroglyph g026
78174,sacred ibis | egyptian hieroglyph g026a
78175,flamingo | egyptian hieroglyph g027
78176,glossy ibis | egyptian hieroglyph g028
78177,saddle-billed stork | egyptian hieroglyph g029
78178,three saddle-billed storks | egyptian hieroglyph g030
78179,heron | egyptian hieroglyph g031
78180,heron on perch | egyptian hieroglyph g032
78181,cattle egret | egyptian hieroglyph g033
78182,ostrich | egyptian hieroglyph g034
78183,cormorant | egyptian hieroglyph g035
78184,swallow | egyptian hieroglyph g036
78185,swallow (low) | egyptian hieroglyph g036a
78186,sparrow | egyptian hieroglyph g037
78187,sparrow (low) | egyptian hieroglyph g037a
78188,white-fronted goose | egyptian hieroglyph g038
78189,pintail | egyptian hieroglyph g039
78190,pintail flying | egyptian hieroglyph g040
78191,pintail alighting | egyptian hieroglyph g041
78192,widgeon | egyptian hieroglyph g042
78193,quail chick | egyptian hieroglyph g043
78194,combination of quail chick and flat loaf | egyptian hieroglyph g043a
78195,two quail chicks | egyptian hieroglyph g044
78196,combination of quail chick and forearm | egyptian hieroglyph g045
78197,combination of quail chick and forearm with conical loaf | egyptian hieroglyph g045a
78198,combination of quail chick and sickle | egyptian hieroglyph g046
78199,duckling | egyptian hieroglyph g047
78200,three ducklings in nest | egyptian hieroglyph g048
78201,three ducklings in pool | egyptian hieroglyph g049
78202,two plovers | egyptian hieroglyph g050
78203,bird pecking at fish | egyptian hieroglyph g051
78204,goose picking up grain | egyptian hieroglyph g052
78205,human-headed bird with bowl with smoke | egyptian hieroglyph g053
78206,plucked bird | egyptian hieroglyph g054
78207,head of pintail | egyptian hieroglyph h001
78208,head of crested bird | egyptian hieroglyph h002
78209,head of spoonbill | egyptian hieroglyph h003
78210,head of vulture | egyptian hieroglyph h004
78211,wing | egyptian hieroglyph h005
78212,feather | egyptian hieroglyph h006
78213,hieratic feather | egyptian hieroglyph h006a
78214,claw | egyptian hieroglyph h007
78215,egg | egyptian hieroglyph h008
78216,gecko | egyptian hieroglyph i001
78217,turtle | egyptian hieroglyph i002
78218,crocodile | egyptian hieroglyph i003
78219,crocodile on shrine | egyptian hieroglyph i004
78220,crocodile with curved tail | egyptian hieroglyph i005
78221,image of crocodile | egyptian hieroglyph i005a
78222,crocodile scales | egyptian hieroglyph i006
78223,frog | egyptian hieroglyph i007
78224,tadpole | egyptian hieroglyph i008
78225,horned viper | egyptian hieroglyph i009
78226,horned viper crawling out of enclosure | egyptian hieroglyph i009a
78227,cobra | egyptian hieroglyph i010
78228,cobra with feather | egyptian hieroglyph i010a
78229,two cobras | egyptian hieroglyph i011
78230,combination of cobra, flat loaf and sandy tract | egyptian hieroglyph i011a
78231,erect cobra | egyptian hieroglyph i012
78232,erect cobra on basket | egyptian hieroglyph i013
78233,snake | egyptian hieroglyph i014
78234,snake | egyptian hieroglyph i015
78235,tilapia | egyptian hieroglyph k001
78236,barbel | egyptian hieroglyph k002
78237,mullet | egyptian hieroglyph k003
78238,elephant-snout fish | egyptian hieroglyph k004
78239,petrocephalus bane | egyptian hieroglyph k005
78240,fish scale | egyptian hieroglyph k006
78241,puffer | egyptian hieroglyph k007
78242,catfish | egyptian hieroglyph k008
78243,dung beetle | egyptian hieroglyph l001
78244,bee | egyptian hieroglyph l002
78245,combination of bee, sedge and two flat loafs | egyptian hieroglyph l002a
78246,fly | egyptian hieroglyph l003
78247,locust | egyptian hieroglyph l004
78248,centipede | egyptian hieroglyph l005
78249,shell | egyptian hieroglyph l006
78250,shell (reversed) | egyptian hieroglyph l006a
78251,scorpion | egyptian hieroglyph l007
78252,egyptian hieroglyph l008
78253,tree | egyptian hieroglyph m001
78254,combination of tree and branch | egyptian hieroglyph m001a
78255,combination of tree and horned viper | egyptian hieroglyph m001b
78256,plant | egyptian hieroglyph m002
78257,branch | egyptian hieroglyph m003
78258,combination of owl and branch | egyptian hieroglyph m003a
78259,palm branch | egyptian hieroglyph m004
78260,combination of palm branch and flat loaf | egyptian hieroglyph m005
78261,combination of palm branch and mouth | egyptian hieroglyph m006
78262,combination of palm branch and stool | egyptian hieroglyph m007
78263,pool with lotus flowers | egyptian hieroglyph m008
78264,lotus flower | egyptian hieroglyph m009
78265,lotus bud with straight stem | egyptian hieroglyph m010
78266,lotus bud with winding stem | egyptian hieroglyph m010a
78267,flower on long twisted stalk | egyptian hieroglyph m011
78268,one lotus plant | egyptian hieroglyph m012
78269,two lotus plants | egyptian hieroglyph m012a
78270,three lotus plants | egyptian hieroglyph m012b
78271,four lotus plants | egyptian hieroglyph m012c
78272,five lotus plants | egyptian hieroglyph m012d
78273,six lotus plants | egyptian hieroglyph m012e
78274,seven lotus plants | egyptian hieroglyph m012f
78275,eight lotus plants | egyptian hieroglyph m012g
78276,nine lotus plants | egyptian hieroglyph m012h
78277,papyrus stem | egyptian hieroglyph m013
78278,combination of papyrus and cobra | egyptian hieroglyph m014
78279,clump of papyrus with buds | egyptian hieroglyph m015
78280,combination of clump of papyrus with buds and village | egyptian hieroglyph m015a
78281,clump of papyrus | egyptian hieroglyph m016
78282,combination of clump of papyrus and village | egyptian hieroglyph m016a
78283,reed | egyptian hieroglyph m017
78284,two reeds | egyptian hieroglyph m017a
78285,combination of reed and legs walking | egyptian hieroglyph m018
78286,heaped conical cakes between reed and club | egyptian hieroglyph m019
78287,field of reeds | egyptian hieroglyph m020
78288,reeds with root | egyptian hieroglyph m021
78289,rush | egyptian hieroglyph m022
78290,two rushes | egyptian hieroglyph m022a
78291,sedge | egyptian hieroglyph m023
78292,combination of sedge and mouth | egyptian hieroglyph m024
78293,lily | egyptian hieroglyph m024a
78294,combination of flowering sedge and mouth | egyptian hieroglyph m025
78295,flowering sedge | egyptian hieroglyph m026
78296,combination of flowering sedge and forearm | egyptian hieroglyph m027
78297,combination of flowering sedge and hobble | egyptian hieroglyph m028
78298,three lilies on village | egyptian hieroglyph m028a
78299,seed-pod | egyptian hieroglyph m029
78300,root | egyptian hieroglyph m030
78301,rhizome | egyptian hieroglyph m031
78302,tree in vase | egyptian hieroglyph m031a
78303,rhizome | egyptian hieroglyph m032
78304,3 grains horizontally | egyptian hieroglyph m033
78305,3 grains vertically | egyptian hieroglyph m033a
78306,3 grains in triangular arrangement | egyptian hieroglyph m033b
78307,ear of emmer | egyptian hieroglyph m034
78308,stack (of grain) | egyptian hieroglyph m035
78309,bundle of flax | egyptian hieroglyph m036
78310,bundle of flax | egyptian hieroglyph m037
78311,wide bundle of flax | egyptian hieroglyph m038
78312,basket of fruit or grain | egyptian hieroglyph m039
78313,bundle of reeds | egyptian hieroglyph m040
78314,bundle of reeds | egyptian hieroglyph m040a
78315,piece of wood | egyptian hieroglyph m041
78316,flower | egyptian hieroglyph m042
78317,vine on trellis | egyptian hieroglyph m043
78318,thorn | egyptian hieroglyph m044
78319,sky | egyptian hieroglyph n001
78320,sky with sceptre | egyptian hieroglyph n002
78321,sky with sceptre | egyptian hieroglyph n003
78322,sky with rain | egyptian hieroglyph n004
78323,sun | egyptian hieroglyph n005
78324,sun with uraeus | egyptian hieroglyph n006
78325,combination of sun and butcher's block | egyptian hieroglyph n007
78326,sunshine | egyptian hieroglyph n008
78327,moon with lower half obscured | egyptian hieroglyph n009
